frames,Rg,degrees,mean_curv,max_curv_monomer,max_curv,min_curv_monomer,min_curv,turning_number,winding_number,density
160.0,13.280136218866428,-124.81661495757486,26.05311,3,99.92541,35,0.1267,-0.074293521080854,-0.1058958504125711,0.09024332160875624
161.0,13.275887214258356,-124.35379235965982,27.49357,4,110.99336,15,0.32411,-0.0601966940634164,-0.1050200786738639,0.09030109637659933
162.0,13.23881458954486,-107.39696953130463,28.37734,4,103.66481,29,0.0083,0.0153102505899638,-0.0583521528352107,0.09080754442922129
163.0,13.22341182494893,-102.0646542882186,27.98401,2,101.42132,21,2.13994,0.052097281147772,-0.0434294299734796,0.09101921473813412
164.0,13.199728453685092,-118.6046065787481,29.9106,2,108.2311,33,0.38808,-0.0254684329601701,-0.088406524186329,0.09134612687467313
165.0,13.203207425994885,-103.52291431561078,28.96541,3,78.35491,24,2.15705,0.0589346445962457,-0.0463925292238877,0.09129799481589211
166.0,13.162326994043587,-102.24690115158045,30.62217,2,80.45061,31,0.03164,0.0296301286539604,-0.0435033926115022,0.09186599430128785
167.0,13.15418847669273,-106.69994937142803,30.2014,4,85.22221,14,2.55703,0.0360161610900431,-0.0553892297002888,0.09197970474065811
168.0,13.160992824321673,-113.57525392190377,31.48816,48,91.23198,37,0.83584,0.0735399041124556,-0.0743133305933603,0.09188462071376152
169.0,13.163395022179094,-101.67737754142767,33.06522,4,85.14197,26,0.48491,0.0845465620357903,-0.042328930164939,0.09185108758670767
170.0,13.188939979986316,-115.27724152886692,33.38438,4,89.51618,27,5.06731,0.0801055030763524,-0.078641492233362,0.09149562916208846
171.0,13.215220884744662,-126.477111518092,32.96211,48,87.55533,22,0.75109,0.0222431196868375,-0.1108701448829069,0.09113207913845706
172.0,13.261968243462764,-147.54249287774508,30.97739,7,93.82287,28,0.04038,-0.0249872531557925,-0.1686916321811199,0.09049074513505552
173.0,13.242304448842956,-140.03210829172198,31.38573,7,103.09333,29,2.41703,0.0021678398222195,-0.1478656514918959,0.09075968813713049
174.0,13.20920469280269,-131.74137753017158,32.52609,7,97.76759,35,0.57267,0.0125381964791975,-0.1242532910719234,0.09121511107694365
175.0,13.22438374149264,-104.31424968011824,32.2011,7,105.24837,35,2.11015,0.0370784404852313,-0.0496285131642802,0.09100583644670467
176.0,13.16528778200946,-113.75516727757812,33.78619,6,96.82253,36,1.48053,0.0015818982222375,-0.0761027095709067,0.0918246788131855
177.0,13.150105611397732,-104.12244567898313,33.6863,6,100.14436,38,1.03458,0.0390092949219332,-0.0489954131679911,0.09203682961169218
178.0,13.17258267373732,-95.59842657056416,34.64803,6,114.00037,27,0.37234,0.0482508060497904,-0.0260583919836447,0.09172300313927137
179.0,13.194230280211356,-98.04418008974396,34.07007,6,114.67746,32,1.12482,0.0444781054389587,-0.0326562928983668,0.09142227250571208
180.0,13.179384688625154,-102.59186880080968,32.70177,6,117.14248,39,1.01618,0.0023387581305053,-0.0452711313124308,0.09162834921623154
181.0,13.177749935131317,-122.6147350545121,30.15752,6,107.57065,4,0.30481,-0.0506673282515771,-0.1004669052228838,0.09165108436536823
182.0,13.177576883061578,-113.61578395988516,30.06553,7,114.14108,17,0.33645,-0.0292103888357692,-0.0754701333176342,0.09165349156270443
183.0,13.144517559790572,-119.54841633425563,33.09526,7,110.07003,22,1.4804,-0.0824992384963702,-0.0922973880447495,0.09211510040000419
184.0,13.139126366748147,-117.38449577324484,32.43875,7,99.28065,18,0.86642,-0.083156307898596,-0.086096632549526,0.09219070849723592
185.0,13.117385926978992,-112.95829004496096,31.51819,6,98.09656,39,0.32197,-0.1180330765811306,-0.0741639569358066,0.09249655105887074
186.0,13.09920046978421,-136.9021879191542,30.85747,6,90.92552,18,0.15575,-0.2122937515544039,-0.1397516956617969,0.09275355295567894
187.0,13.10760797737892,-137.02419453093742,31.02855,6,107.81468,19,2.2965,-0.2612837421604304,-0.1403538447208798,0.09263460278514715
188.0,13.11530895313741,-129.1851679972225,30.30356,6,93.46595,44,0.13468,-0.2648351973089471,-0.1196655086454477,0.09252584935895938
189.0,13.113421405750138,-137.39226086943165,29.70399,12,93.83098,20,0.97154,-0.2924654925200913,-0.1418972908516407,0.09255248763880375
190.0,13.096989716937598,-148.24449984686782,30.6983,6,81.96781,45,0.7941,-0.3478358640580927,-0.1721603906926411,0.09278486892861175
191.0,13.097431869304051,-140.47259137631613,30.90673,9,79.21234,40,1.53061,-0.3192283912864825,-0.1516588194818112,0.09277860443992406
192.0,13.070404278407455,-139.57166440510005,30.22482,6,89.35621,22,0.67783,-0.3198879826553618,-0.1489271730588195,0.09316270500160577
193.0,13.092055894113496,-153.2915518342804,31.49216,6,81.79447,34,0.71826,-0.3726839913639356,-0.1868695896816585,0.09285481521774315
194.0,13.11447189006982,-146.60111526893007,30.93404,12,81.91203,8,1.23517,-0.3517945698206388,-0.168125699900182,0.0925376611106885
195.0,13.11895609631579,-148.87022236094168,29.74423,48,90.56737,27,2.05158,-0.3622957229704213,-0.1732758326849324,0.09247441110264619
196.0,13.100881593316524,-124.44887097433018,28.78257,48,90.48764,38,0.40384,-0.2774536512633941,-0.1058375370267543,0.0927297499505332
197.0,13.049566403441304,-140.69603510455931,29.12724,12,78.53873,19,0.60847,-0.2674895902718582,-0.1497978744028248,0.09346047164101005
198.0,13.03190417548478,-115.92709674377848,29.1323,12,98.08624,18,0.44261,-0.2232567630724924,-0.0815376452984255,0.09371397853438578
199.0,13.023357457627784,-98.06814699683312,29.56829,12,93.99581,10,3.14101,-0.1885074045977537,-0.0332422251179575,0.09383702049977755
200.0,12.993490098588524,-91.14131290210716,31.50265,12,91.99579,45,3.76586,-0.1457834604657885,-0.0144085436267546,0.0942689114111861
201.0,12.969837704503444,-76.43692170549278,31.60337,16,91.82513,31,0.74438,-0.0488262679423849,0.027315312673065,0.09461305118719682
